keywords,time,resolution,geo_name,geo_code,value
korean skincare||skincare,today 12-m,DMA,Ft. Myers-Naples FL,571,4|96
korean skincare||skincare,today 12-m,DMA,Panama City FL,656,5|95
korean skincare||skincare,today 12-m,DMA,Montgomery (Selma) AL,698,6|94
korean skincare||skincare,today 12-m,DMA,Champaign & Springfield-Decatur IL,648,6|94
korean skincare||skincare,today 12-m,DMA,Greenville-New Bern-Washington NC,545,6|94
korean skincare||skincare,today 12-m,DMA,Eugene OR,801,7|93
korean skincare||skincare,today 12-m,DMA,Spokane WA,881,5|95
korean skincare||skincare,today 12-m,DMA,Alexandria LA,644,5|95
korean skincare||skincare,today 12-m,DMA,Twin Falls ID,760,6|94
korean skincare||skincare,today 12-m,DMA,Cincinnati OH,515,5|95
korean skincare||skincare,today 12-m,DMA,Binghamton NY,502,6|94
korean skincare||skincare,today 12-m,DMA,Mobile AL-Pensacola (Ft. Walton Beach) FL,686,5|95
korean skincare||skincare,today 12-m,DMA,Florence-Myrtle Beach SC,570,6|94
korean skincare||skincare,today 12-m,DMA,Indianapolis IN,527,5|95
korean skincare||skincare,today 12-m,DMA,Monroe LA-El Dorado AR,628,6|94
korean skincare||skincare,today 12-m,DMA,Savannah GA,507,5|95
korean skincare||skincare,today 12-m,DMA,Dothan AL,606,5|95
korean skincare||skincare,today 12-m,DMA,Chattanooga TN,575,6|94
korean skincare||skincare,today 12-m,DMA,Beaumont-Port Arthur TX,692,6|94
korean skincare||skincare,today 12-m,DMA,Corpus Christi TX,600,5|95
korean skincare||skincare,today 12-m,DMA,Tulsa OK,671,4|96
korean skincare||skincare,today 12-m,DMA,Wichita Falls TX & Lawton OK,627,6|94
korean skincare||skincare,today 12-m,DMA,Roanoke-Lynchburg VA,573,6|94
korean skincare||skincare,today 12-m,DMA,Medford-Klamath Falls OR,813,5|95
korean skincare||skincare,today 12-m,DMA,Rochester NY,538,6|94
korean skincare||skincare,today 12-m,DMA,Louisville KY,529,5|95
korean skincare||skincare,today 12-m,DMA,Knoxville TN,557,5|95
korean skincare||skincare,today 12-m,DMA,"Billings, MT",756,5|95
korean skincare||skincare,today 12-m,DMA,Johnstown-Altoona PA,574,5|95
korean skincare||skincare,today 12-m,DMA,South Bend-Elkhart IN,588,6|94
korean skincare||skincare,today 12-m,DMA,Portland-Auburn ME,500,5|95
korean skincare||skincare,today 12-m,DMA,Wheeling WV-Steubenville OH,554,6|94
korean skincare||skincare,today 12-m,DMA,Greenville-Spartanburg SC-Asheville NC-Anderson SC,567,5|95
korean skincare||skincare,today 12-m,DMA,Tucson (Sierra Vista) AZ,789,6|94
korean skincare||skincare,today 12-m,DMA,Idaho Falls-Pocatello ID,758,5|95
korean skincare||skincare,today 12-m,DMA,Harrisburg-Lancaster-Lebanon-York PA,566,5|95
korean skincare||skincare,today 12-m,DMA,Greensboro-High Point-Winston Salem NC,518,5|95
korean skincare||skincare,today 12-m,DMA,Little Rock-Pine Bluff AR,693,6|94
korean skincare||skincare,today 12-m,DMA,Lexington KY,541,5|95
korean skincare||skincare,today 12-m,DMA,Bowling Green KY,736,5|95
korean skincare||skincare,today 12-m,DMA,Lafayette LA,642,4|96
korean skincare||skincare,today 12-m,DMA,Ft. Wayne IN,509,6|94
korean skincare||skincare,today 12-m,DMA,Jackson MS,718,5|95
korean skincare||skincare,today 12-m,DMA,Watertown NY,549,6|94
korean skincare||skincare,today 12-m,DMA,Columbus-Tupelo-West Point MS,673,4|96
korean skincare||skincare,today 12-m,DMA,Burlington VT-Plattsburgh NY,523,5|95
korean skincare||skincare,today 12-m,DMA,Fargo-Valley City ND,724,5|95
korean skincare||skincare,today 12-m,DMA,Cleveland-Akron (Canton) OH,510,5|95
korean skincare||skincare,today 12-m,DMA,Charleston-Huntington WV,564,5|95
korean skincare||skincare,today 12-m,DMA,Albany-Schenectady-Troy NY,532,5|95
korean skincare||skincare,today 12-m,DMA,Peoria-Bloomington IL,675,5|95
korean skincare||skincare,today 12-m,DMA,Amarillo TX,634,5|95
korean skincare||skincare,today 12-m,DMA,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,637,5|95
korean skincare||skincare,today 12-m,DMA,Minot-Bismarck-Dickinson(Williston) ND,687,5|95
korean skincare||skincare,today 12-m,DMA,Hattiesburg-Laurel MS,710,5|95
korean skincare||skincare,today 12-m,DMA,Yuma AZ-El Centro CA,771,5|95
korean skincare||skincare,today 12-m,DMA,Sherman TX-Ada OK,657,5|95
korean skincare||skincare,today 12-m,DMA,Tri-Cities TN-VA,531,4|96
korean skincare||skincare,today 12-m,DMA,Columbia-Jefferson City MO,604,5|95
korean skincare||skincare,today 12-m,DMA,Rapid City SD,764,5|95
korean skincare||skincare,today 12-m,DMA,Grand Rapids-Kalamazoo-Battle Creek MI,563,5|95
korean skincare||skincare,today 12-m,DMA,Tyler-Longview(Lufkin & Nacogdoches) TX,709,4|96
korean skincare||skincare,today 12-m,DMA,Clarksburg-Weston WV,598,5|95
korean skincare||skincare,today 12-m,DMA,Dayton OH,542,6|94
