dma_code,dma_name,geo_code,nielsen_name,n_counties,total_pop,pct_hisp,pct_white_nh,pct_black_nh,pct_asian_nh
698,Montgomery (Selma) AL,US-AL-698,MONTGOMERY,15,630527,3.85,47.44,44.83,1.97
702,La Crosse-Eau Claire WI,US-WI-702,LA CROSSE-EAU CLAIRE,14,581083,3.98,89.7,1.38,2.6
705,Wausau-Rhinelander WI,US-WI-705,WAUSAU-RHINELANDER,11,460305,3.62,89.4,0.98,3.08
709,Tyler-Longview(Lufkin & Nacogdoches) TX,US-TX-709,TYLER-LONGVIEW (LFKN&NCGD),13,793096,20.29,60.65,15.47,1.26
710,Hattiesburg-Laurel MS,US-MS-710,HATTIESBURG-LAUREL,8,299983,4.11,61.78,31.56,0.84
711,Meridian MS,US-MS-711,MERIDIAN,7,168000,2.14,51.7,40.21,0.74
716,Baton Rouge LA,US-LA-716,BATON ROUGE,13,949722,7.12,53.18,35.65,2.24
717,Quincy IL-Hannibal MO-Keokuk IA,US-IL-717,QUINCY-HANNIBAL-KEOKUK,15,246305,2.63,90.49,3.73,0.86
718,Jackson MS,US-MS-718,"JACKSON, MS",24,874386,3.4,45.71,48.22,1.22
722,Lincoln & Hastings-Kearney NE,US-NE-722,LINCOLN-HASTINGS-KEARNEY PLUS,53,763875,11.68,80.12,2.78,2.75
724,Fargo-Valley City ND,US-ND-724,FARGO-VALLEY CITY,35,671733,4.41,84.24,4.01,2.06
725,Sioux Falls(Mitchell) SD,US-SD-725,SIOUX FALLS (MITCHELL),57,744181,6.49,81.05,2.87,1.98
734,Jonesboro AR,US-AR-734,JONESBORO,6,230367,4.91,81.06,10.23,0.89
736,Bowling Green KY,US-KY-736,BOWLING GREEN,6,249212,6.01,79.71,7.3,4.11
737,Mankato MN,US-MN-737,MANKATO,5,161668,7.57,84.7,3.77,1.83
740,North Platte NE,US-NE-740,NORTH PLATTE,4,35023,9.46,86.13,1.17,0.74
743,Anchorage AK,US-AK-743,ANCHORAGE,3,468472,8.19,63.17,3.57,7.17
744,Honolulu HI,US-HI-744,HONOLULU,5,1446146,10.23,21.28,1.97,36.34
745,Fairbanks AK,US-AK-745,FAIRBANKS,1,94951,9.21,67.66,4.58,3.37
746,Biloxi-Gulfport MS,US-MS-746,BILOXI-GULFPORT,4,406181,7.22,65.14,22.39,2.47
747,Juneau AK,US-AK-747,JUNEAU,1,31572,7.4,62.75,1.31,7.51
749,Laredo TX,US-TX-749,LAREDO,2,286642,94.7,3.97,0.53,0.54
751,Denver CO,US-CO-751,DENVER,67,4786383,23.11,65.26,4.24,4.23
752,Colorado Springs-Pueblo CO,US-CO-752,COLORADO SPRINGS-PUEBLO,12,1058781,23.46,64.29,5.1,2.7
753,Phoenix AZ,US-AZ-753,PHOENIX,10,6040844,29.78,54.18,5.49,4.44
754,Butte-Bozeman MT,US-MT-754,BUTTE-BOZEMAN,7,213112,5.21,89.39,0.6,1.23
755,Great Falls MT,US-MT-755,GREAT FALLS,13,172104,4.46,77.09,0.96,0.87
756,Billings MT,US-MT-756,BILLINGS,18,305099,6.18,83.37,0.61,0.76
757,Boise ID,US-ID-757,BOISE,12,966144,16.36,76.66,1.23,2.36
758,Idaho Falls-Pocatello ID,US-ID-758,IDAHO FALLS-POCATELLO,14,448692,13.64,80.89,0.7,1.26
759,Cheyenne WY-Scottsbluff NE,US-WY-759,CHEYENNE-SCOTTSBLUFF,4,151251,17.73,76.37,1.57,1.2
760,Twin Falls ID,US-ID-760,TWIN FALLS,7,218238,26.92,69.13,0.68,1.0
762,Missoula MT,US-MT-762,MISSOULA,7,341355,4.52,87.21,0.42,1.18
764,Rapid City SD,US-SD-764,RAPID CITY,19,285458,5.25,79.25,1.12,1.14
765,El Paso TX,US-TX-765,EL PASO,4,1111012,79.78,14.17,3.25,1.3
766,Helena MT,US-MT-766,HELENA,2,83431,4.28,90.3,0.48,0.82
767,Casper-Riverton WY,US-WY-767,CASPER-RIVERTON,5,146184,9.2,81.15,0.83,0.72
770,Salt Lake City UT,US-UT-770,SALT LAKE CITY,39,3687639,16.86,74.58,1.32,2.86
771,Yuma AZ-El Centro CA,US-AZ-771,YUMA-EL CENTRO,2,402034,75.38,19.53,1.99,1.23
773,Grand Junction-Montrose CO,US-CO-773,GRAND JUNCTION-MONTROSE,2,206066,17.27,78.39,0.72,1.02
789,Tucson (Sierra Vista) AZ,US-AZ-789,TUCSON-SIERRA VISTA,3,1256430,38.71,49.58,3.76,3.34
790,Albuquerque-Santa Fe NM,US-NM-790,ALBUQUERQUE-SANTA FE,31,1971156,44.05,38.05,1.96,1.88
798,Glendive MT,US-MT-798,GLENDIVE,2,9843,4.0,90.67,0.51,0.65
800,Bakersfield CA,US-CA-800,BAKERSFIELD,1,922529,57.81,29.24,5.0,5.27
801,Eugene OR,US-OR-801,EUGENE,4,657876,9.93,80.13,1.05,3.37
802,Eureka CA,US-CA-802,EUREKA,2,159389,15.74,68.92,1.56,2.95
803,Los Angeles CA,US-CA-803,LOS ANGELES,6,18070090,47.32,28.15,6.4,15.08
804,Palm Springs CA,US-CA-804,PALM SPRINGS,1,455650,56.1,35.51,2.66,3.42
807,San Francisco-Oakland-San Jose CA,US-CA-807,SAN FRANCISCO-OAKLAND-SAN JOSE,10,7349852,24.73,35.04,5.1,30.47
810,Yakima-Pasco-Richland-Kennewick WA,US-WA-810,YAKIMA-PASCO-RCHLND-KNNWCK,6,768682,39.3,53.19,1.29,2.02
811,Reno NV,US-NV-811,RENO,14,785917,25.03,62.02,2.42,5.06
813,Medford-Klamath Falls OR,US-OR-813,MEDFORD-KLAMATH FALLS,6,453511,13.73,78.35,0.82,1.49
